query,url_imagem,url_thumb,fotografo,link_foto,descricao,classificacao,arquivo_local
cold winter weather,https://images.unsplash.com/photo-1772920908663-3bf04eeb9e16?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MDM3MDZ8MHwxfHNlYXJjaHwxfHxjb2xkJTIwd2ludGVyJTIwd2VhdGhlcnxlbnwwfDB8fHwxNzc0Mjc0NTQ1fDA&ixlib=rb-4.1.0&q=80&w=1080,https://images.unsplash.com/photo-1772920908663-3bf04eeb9e16?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MDM3MDZ8MHwxfHNlYXJjaHwxfHxjb2xkJTIwd2ludGVyJTIwd2VhdGhlcnxlbnwwfDB8fHwxNzc0Mjc0NTQ1fDA&ixlib=rb-4.1.0&q=80&w=200,Alexander von Schulz,https://unsplash.com/photos/pair-of-black-shoes-covered-in-snow-y2QjmK75Kx0,Pair of black shoes covered in snow,frio,imagens_clima/frio.jpg
mild cloudy weather,https://images.unsplash.com/photo-1669741249119-b6cc3b2b498e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MDM3MDZ8MHwxfHNlYXJjaHwxfHxtaWxkJTIwY2xvdWR5JTIwd2VhdGhlcnxlbnwwfDB8fHwxNzc0Mjc0NTQ5fDA&ixlib=rb-4.1.0&q=80&w=1080,https://images.unsplash.com/photo-1669741249119-b6cc3b2b498e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MDM3MDZ8MHwxfHNlYXJjaHwxfHxtaWxkJTIwY2xvdWR5JTIwd2VhdGhlcnxlbnwwfDB8fHwxNzc0Mjc0NTQ5fDA&ixlib=rb-4.1.0&q=80&w=200,Harshita Gupta,https://unsplash.com/photos/a-wooden-fence-with-trees-in-the-background-9iWfyRPxU0Q,a wooden fence with trees in the background,ameno,imagens_clima/ameno.jpg
sunny hot weather,https://images.unsplash.com/photo-1636637275183-879d97e60319?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MDM3MDZ8MHwxfHNlYXJjaHwxfHxzdW5ueSUyMGhvdCUyMHdlYXRoZXJ8ZW58MHwwfHx8MTc3NDI3NDU1MXww&ixlib=rb-4.1.0&q=80&w=1080,https://images.unsplash.com/photo-1636637275183-879d97e60319?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MDM3MDZ8MHwxfHNlYXJjaHwxfHxzdW5ueSUyMGhvdCUyMHdlYXRoZXJ8ZW58MHwwfHx8MTc3NDI3NDU1MXww&ixlib=rb-4.1.0&q=80&w=200,Pascal Bernardon,https://unsplash.com/photos/a-large-group-of-rocks-sitting-on-top-of-a-hillside-wKhTdgqhFbk,a large group of rocks sitting on top of a hillside,quente,imagens_clima/quente.jpg
